"department_id","aisle_id","product_id","product_name","aisle","department"
"9","9","60","Cheesy Creations Roasted Garlic Parmesan Sauce","pasta sauce","dry goods pasta"
"15","69","61","Ramen Noodles Soup Chicken Mushroom Flavor","soup broth bouillon","canned goods"
"20","96","62","Premium Deli Oven Roasted Turkey Breast","lunch meat","deli"
"18","92","63","Banana & Sweet Potato Organic Teething Wafers","baby food formula","babies"
"1","38","4","Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce","frozen meals","frozen"
"13","5","5","Green Chile Anytime Sauce","marinades meat preparation","pantry"
"11","11","6","Dry Nose Oil","cold flu allergy","personal care"
"7","98","7","Pure Coconut Water With Orange","juice nectars","beverages"
"18","92","64","Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner","baby food formula","babies"
"13","89","65","Organic Red Wine & Olive Oil Dressing Organic","salad dressing toppings","pantry"
"4","123","66","European Style Spring Mix","packaged vegetables fruits","produce"
"13","88","67","Jelly, Blackberry","spreads","pantry"
"14","130","68","Pancake Mix, Buttermilk","hot cereal pancake mixes","breakfast"
"7","26","69","Vanilla with Almond Milk Iced Coffee","coffee","beverages"
"6","66","70","Sweet Cooking Rice Seasoning","asian foods","international"
"17","111","71","Ultra 7 Inch Polypropylene Traditional Plates","plates bowls cups flatware","household"
"21","100","72","Organic Honeycrisp Apples","missing","missing"
"7","77","73","Jasmine Tea Unfiltered Ginger Ale","soft drinks","beverages"
"20","14","74","Artisan Chick'n & Apple Sausage","tofu meat alternatives","deli"
"11","65","75","Hemp Protein, Organic","protein meal replacements","personal care"
"9","12","76","Spinach Basil Garlic Linguini","fresh pasta","dry goods pasta"
"19","3","77","Coconut Chocolate Chip Energy Bar","energy granola bars","snacks"
"19","61","78","Nutter Butter Cookie Bites Go-Pak","cookies cakes","snacks"
"15","95","79","Wild Albacore Tuna No Salt Added","canned meat seafood","canned goods"
"13","19","80","French  Tarragon Wine Vinegar","oils vinegars","pantry"
"1","38","81","Blakes Chicken Parmesan Dinner","frozen meals","frozen"
"7","98","82","All Natural 100% Apple Juice","juice nectars","beverages"
"3","128","83","100% Whole Wheat Pita Bread","tortillas flat bread","bakery"
"12","7","84","Lamb Shank","packaged meat","meat seafood"
"20","96","85","Soppressata Piccante","lunch meat","deli"
"2","6","86","Camilia, Single Liquid Doses","other","other"
"7","94","87","Classics Earl Grey Tea","tea","beverages"
"11","47","88","Probiotics High Potency Capsules","vitamins supplements","personal care"
"4","123","89","Yogurt Fruit Dip Sliced Apples","packaged vegetables fruits","produce"
"14","121","90","Smorz Cereal","cereal","breakfast"
"11","47","91","Kind Prenatal Once Daily","vitamins supplements","personal care"
"8","40","92","Meat In The Middle Large Rawhide Chews","dog food care","pets"
"19","23","93","Uncured Cracked Pepper Beef","popcorn jerky","snacks"
"18","92","94","Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups","baby food formula","babies"
"6","66","95","Organic Rice Vinegar","asian foods","international"
"13","97","96","Sprinklez Confetti Fun Organic Toppings","baking supplies decor","pantry"
"7","94","97","Organic Chamomile Lemon Tea","tea","beverages"
"16","2","98","2% Yellow American Cheese","specialty cheeses","dairy eggs"
"4","83","99","Local Living Butter Lettuce","fresh vegetables","produce"
"1","38","100","Peanut Butter & Strawberry Jam Sandwich","frozen meals","frozen"
